company,job_title,location,source_platform,salary,date_posted,job_link,is_duplicate,priority,relevance_score,classification_reason,application_status
,"Staff Software Engineer, Data Protection","Mountain View, CA (Hybrid)",Google Careers,"$210,000 - $310,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
,Senior Technical Program Manager,"Sunnyvale, CA (Hybrid)",Google Careers,"$180,000 - $260,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
The Trade Desk,"Software Engineer II, Front-end","New York, NY",The Trade Desk Careers,"$140,000 - $190,000",,Apply Link,False,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved
Chime,"Senior Software Engineer, Data Engineering","San Francisco, CA (Remote)",Chime Careers,"$165,000 - $225,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
S&P Global,"Software Engineer, Backend (Python)","New York, NY (Hybrid)",S&P Global Careers,"$135,000 - $185,000",,Apply Link,False,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved
Visa,"Senior Manager, Sales Engineer","San Francisco, CA",Visa Careers,"$175,000 - $240,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Visa,Backend Senior Software Engineer,"Austin, TX (Hybrid)",Visa Careers,"$150,000 - $210,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
The Home Depot,Software Engineer Manager,"Atlanta, GA (Remote)",Jobs in Data,"$140,000 - $195,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Gartner,Director Analyst - Financial Strategy,Remote - U.S.,Jobs in Data,"$160,000 - $220,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Capital One,"Sr Director, Software Engineering","Remote, USA",Capital One Careers,"$220,000 - $320,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Capital One,"Lead Software Engineer, Full Stack","Remote, USA",Capital One Careers,"$170,000 - $240,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Motive,"Staff Product Manager, Telematics Platform","Remote, US",Built In,"$162,000 - $230,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Samsara,Senior Hardware Product Manager,"San Francisco, CA (Remote)",Built In,"$166,000 - $220,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Whatnot,"Product Manager, International Growth","Los Angeles, CA (Remote)",Built In,"$225,000 - $325,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
AcuityMD,Senior Data Product Manager,"Boston, MA (Remote)",Built In,"$175,000 - $215,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
DraftKings,"Product Manager, Sports Intelligence","Boston, MA",Built In,"$98,000 - $122,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Optum,Product Manager - Musculoskeletal,"Eden Prairie, MN (Remote)",Built In,"$92,000 - $164,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Openly,Regional Insurance Product Manager,"Remote, US",Built In,"$108,000 - $181,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Oklo,Senior Software Developer,"Santa Clara, CA",Wellfound,"$150,000 - $210,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
YipitData,Data Analyst & Pipeline Developer,"Remote, USA",Wellfound,"$120,000 - $160,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
StepSecurity,Security Automation Engineer,"Remote, USA",Wellfound,"$130,000 - $175,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Venura.ai,AI Test & Evaluation Engineer,"Remote, USA",Wellfound,"$140,000 - $190,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Koda Health,Full-Stack Engineer - AI Healthcare,"Remote, USA",Wellfound,"$135,000 - $180,000",,Apply Link,False,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved
Luminary,Fintech Platform Developer,"New York, NY (Remote)",Wellfound,"$150,000 - $200,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
The Prompt Academy,AI Prompt Engineering Specialist,"Remote, USA",Wellfound,"$110,000 - $150,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
PermitFlow,Construction AI Solutions Architect,"San Jose, CA (Remote)",Wellfound,"$160,000 - $220,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Lemon.io,Senior DevOps Engineer,"New York, NY (Remote)",We Work Remotely,"$130,000 - $170,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Keeper Security,Associate Account Manager,"Remote, US",We Work Remotely,"$75,000 - $105,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Abnormal Security,Critical Situation Manager,"San Francisco, CA",We Work Remotely,"$140,000 - $190,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Abnormal Security,Application Security Engineer II,"San Francisco, CA",We Work Remotely,"$145,000 - $195,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Temporal Technologies,Senior Application Security Engineer,Remote (US/Canada),We Work Remotely,"$160,000 - $220,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Databricks,Technical Project Manager — AI & Data,"Remote, US",We Work Remotely,"$150,000 - $210,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Databricks,Senior Data/ML Engineer,"Remote, US",We Work Remotely,"$170,000 - $240,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Interfell,AWS Network Engineer,Remote (LATAM/US),Get on Board,"$36,000 - $54,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Coderslab.io,DevOps & Infrastructure Administrator,Remote,Get on Board,"$36,000 - $54,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
