id,company,job_title,location,source_platform,salary,date_posted,job_link,priority,relevance_score,classification_reason,application_status,application_method,application_url,next_action,follow_up_date,date_applied,notes,last_checked
JOB-003,The Trade Desk,"Software Engineer II, Front-end","New York, NY",The Trade Desk Careers,"$140,000 - $190,000",2026-08-25,Apply Link,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved,Unknown,,Review job,,,,2026-08-30
JOB-005,S&P Global,"Software Engineer, Backend (Python)","New York, NY (Hybrid)",S&P Global Careers,"$135,000 - $185,000",2026-08-25,Apply Link,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved,Unknown,,Review job,,,,2026-08-30
JOB-020,YipitData,Data Analyst & Pipeline Developer,"Remote, USA",Wellfound,"$120,000 - $160,000",2026-08-20,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-021,StepSecurity,Security Automation Engineer,"Remote, USA",Wellfound,"$130,000 - $175,000",2026-08-19,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-022,Venura.ai,AI Test & Evaluation Engineer,"Remote, USA",Wellfound,"$140,000 - $190,000",2026-08-18,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-023,Koda Health,Full-Stack Engineer - AI Healthcare,"Remote, USA",Wellfound,"$135,000 - $180,000",2026-08-17,Apply Link,Medium Priority,7,"Title matches a software, full-stack, backend, MERN, or data engineering role.",Saved,Unknown,,Review job,,,,2026-08-30
JOB-024,Luminary,Fintech Platform Developer,"New York, NY (Remote)",Wellfound,"$150,000 - $200,000",2026-08-16,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-025,The Prompt Academy,AI Prompt Engineering Specialist,"Remote, USA",Wellfound,"$110,000 - $150,000",2026-08-15,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-030,Abnormal Security,Application Security Engineer II,"San Francisco, CA",We Work Remotely,"$145,000 - $195,000",2026-08-24,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-034,Interfell,AWS Network Engineer,Remote (LATAM/US),Get on Board,"$36,000 - $54,000",2026-07-23,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-035,Coderslab.io,DevOps & Infrastructure Administrator,Remote,Get on Board,"$36,000 - $54,000",2026-07-21,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-036,Molten Cloud,QA Automation Engineer,Remote,Get on Board,"$36,000 - $48,000",2026-07-21,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-037,Devsu,DevOps Engineer (GCP & Kubernetes),Remote,Get on Board,"$42,000 - $60,000",2026-07-16,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
JOB-043,Healthatom,Software Development Engineer,Remote,Get on Board,"$35,000 - $50,000",2026-07-23,Apply Link,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved,Unknown,,Review job,,,,2026-08-30
